Field1,ID,time,lon,lat,event_id,tagtype,sex,height_above_wgs84,height_above_wgs84_1,fix,point_state,moving,on_land,POINT_X,POINT_Y,POINT_Z,Terrain
5253,NS-2022-07,2022-10-27 01:59:28,-63.354022999999998,45.240360299999999,24153664035,4g - hybrid overwater,m,,34.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.354024894999952,45.240350857000067,0.000000000000000,31.0780048
5255,NS-2022-07,2022-10-28 02:01:36,-63.353355399999998,45.240795100000000,24164982462,4g - hybrid overwater,m,,31.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.353357294999967,45.240785657000060,0.000000000000000,25.8410053
5256,NS-2022-07,2022-10-29 01:59:28,-63.353511800000000,45.240665399999997,24164982467,4g - hybrid overwater,m,,31.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.353513694999947,45.240655957000058,0.000000000000000,26.2480068
5258,NS-2022-07,2022-10-30 02:01:36,-63.354099300000001,45.240383100000003,24164982482,4g - hybrid overwater,m,,33.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.354101194999942,45.240373657000077,0.000000000000000,30.9570026
5261,NS-2022-07,2022-11-01 02:01:36,-63.353153200000001,45.240997299999997,24184523487,4g - hybrid overwater,m,,30.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.353155095999966,45.240987857000050,0.000000000000000,25.8300037
5289,NS-2022-07,2022-11-20 01:59:28,-63.355457299999998,45.242202800000001,24300154536,4g - hybrid overwater,m,,38.000000000000000,3D,Point state: Stationary,TRUE,TRUE,-63.355459194999980,45.242193357000076,0.000000000000000,38.0130081
5247,NS-2022-07,2022-10-23 01:59:28,-63.349620799999997,45.242099799999998,24143139933,4g - hybrid overwater,m,,9.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.349622696999973,45.242090357000052,0.000000000000000,7.5690041
5249,NS-2022-07,2022-10-24 02:01:36,-63.349262199999998,45.242404899999997,24143139954,4g - hybrid overwater,m,,12.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.349264096999946,45.242395456000054,0.000000000000000,6.8980026
5259,NS-2022-07,2022-10-31 01:59:28,-63.349235499999999,45.242404899999997,24179012073,4g - hybrid overwater,m,,12.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.349237396999968,45.242395456000054,0.000000000000000,6.8980026
5262,NS-2022-07,2022-11-02 01:59:28,-63.349441499999998,45.242149400000002,24184523492,4g - hybrid overwater,m,,11.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.349443396999959,45.242139957000063,0.000000000000000,7.6600037
5264,NS-2022-07,2022-11-03 02:01:36,-63.349361399999999,45.242176100000002,24184523517,4g - hybrid overwater,m,,13.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.349363296999968,45.242166657000041,0.000000000000000,7.5440025
5265,NS-2022-07,2022-11-04 01:59:28,-63.349338500000002,45.242149400000002,24204680072,4g - hybrid overwater,m,,8.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.349340396999935,45.242139957000063,0.000000000000000,7.6240025
5267,NS-2022-07,2022-11-05 02:01:36,-63.349235499999999,45.242279099999998,24204680085,4g - hybrid overwater,m,,13.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.349237396999968,45.242269656000076,0.000000000000000,8.7100029
5268,NS-2022-07,2022-11-06 01:59:28,-63.349361399999999,45.242149400000002,24204680089,4g - hybrid overwater,m,,10.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.349363296999968,45.242139957000063,0.000000000000000,7.6240025
5270,NS-2022-07,2022-11-07 02:01:36,-63.349491100000002,45.241970100000003,24223102868,4g - hybrid overwater,m,,6.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.349492996999970,45.241960657000050,0.000000000000000,7.8850021
5271,NS-2022-07,2022-11-08 01:59:28,-63.349235499999999,45.242279099999998,24237726146,4g - hybrid overwater,m,,11.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.349237396999968,45.242269656000076,0.000000000000000,8.7100029
5273,NS-2022-07,2022-11-09 02:01:36,-63.349082899999999,45.242381999999999,24252430370,4g - hybrid overwater,m,,10.000000000000000,3D,Point state: Stationary,TRUE,TRUE,-63.349084796999932,45.242372556000078,0.000000000000000,8.9200039
5276,NS-2022-07,2022-11-11 02:01:36,-63.349464400000002,45.242561299999998,24252430390,4g - hybrid overwater,m,,10.000000000000000,3D,Point state: Stationary,TRUE,TRUE,-63.349466296999935,45.242551856000034,0.000000000000000,6.2570019
5279,NS-2022-07,2022-11-13 02:01:36,-63.349285100000003,45.242126499999998,24292361844,4g - hybrid overwater,m,,9.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.349286996999979,45.242117057000030,0.000000000000000,7.7770023
5280,NS-2022-07,2022-11-14 01:59:28,-63.349414799999998,45.242176100000002,24292361845,4g - hybrid overwater,m,,10.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.349416696999981,45.242166657000041,0.000000000000000,7.5440025
5285,NS-2022-07,2022-11-17 02:01:36,-63.349338500000002,45.241996800000003,24292361872,4g - hybrid overwater,m,,8.000000000000000,3D,Point state: Stationary,TRUE,TRUE,-63.349340396999935,45.241987357000028,0.000000000000000,7.0320015
5294,NS-2022-07,2022-11-23 02:01:36,-63.349697100000000,45.241920499999999,24317200447,4g - hybrid overwater,m,,12.000000000000000,3D,Point state: Stationary,TRUE,TRUE,-63.349698996999962,45.241911057000038,0.000000000000000,7.7430019
5425,NS-2022-09,2022-11-01 02:01:36,-63.346111299999997,45.243072499999997,24184523488,4g - hybrid overwater,m,,11.000000000000000,3D,Point state: Stationary,TRUE,TRUE,-63.346113197999955,45.243063056000040,0.000000000000000,11.5190029
5431,NS-2022-09,2022-11-05 02:01:36,-63.346214300000000,45.242816900000001,24204680086,4g - hybrid overwater,m,,14.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.346216197999979,45.242807456000037,0.000000000000000,9.9580021
5579,NS-2022-11,2022-10-30 02:01:36,-63.325656899999998,45.240333600000000,24164982484,4g - hybrid overwater,m,,25.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.325658804999932,45.240324156000042,0.000000000000000,24.8700027
5583,NS-2022-11,2022-11-02 01:59:28,-63.325710299999997,45.240230599999997,24184523495,4g - hybrid overwater,m,,34.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.325712204999945,45.240221156000075,0.000000000000000,25.5420036
5585,NS-2022-11,2022-11-03 02:01:36,-63.325607300000001,45.240360299999999,24184523520,4g - hybrid overwater,m,,22.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.325609204999978,45.240350856000077,0.000000000000000,24.7900009
5586,NS-2022-11,2022-11-04 01:59:28,-63.325401300000003,45.240512799999998,24204680075,4g - hybrid overwater,m,,28.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.325403204999986,45.240503356000033,0.000000000000000,24.7800026
5574,NS-2022-11,2022-10-27 01:59:28,-63.324684099999999,45.240077999999997,24164982456,4g - hybrid overwater,m,,29.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.324686004999933,45.240068556000040,0.000000000000000,23.5090027
5576,NS-2022-11,2022-10-28 02:01:36,-63.322891200000001,45.240947700000000,24164982465,4g - hybrid overwater,m,,49.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.322893105999981,45.240938256000049,0.000000000000000,29.4130020
5577,NS-2022-11,2022-10-29 01:59:28,-63.324737499999998,45.240077999999997,24164982470,4g - hybrid overwater,m,,27.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.324739404999946,45.240068556000040,0.000000000000000,23.5890007
5582,NS-2022-11,2022-11-01 02:01:36,-63.325096100000003,45.240203899999997,24184523490,4g - hybrid overwater,m,,27.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.325098004999973,45.240194456000040,0.000000000000000,23.8440018
5588,NS-2022-11,2022-11-05 02:01:36,-63.325221999999997,45.240230599999997,24204680087,4g - hybrid overwater,m,,33.000000000000000,3D,Point state: Stationary,FALSE,TRUE,-63.325223904999973,45.240221156000075,0.000000000000000,24.2150002
