Field1,Latitude,Longitude,Altitude,POINT_X,POINT_Y,POINT_Z,t_hae_m_1
39,44.896016600000003,-68.668126700000002,168.539999999999992,-68.668126794999978,44.896007347000079,168.539999999993597,36.1754074
40,44.896411200000003,-68.668160000000000,159.939999999999998,-68.668160094999962,44.896401947000072,159.940000000002328,36.6059723
41,44.895643300000003,-68.668139800000006,160.569999999999993,-68.668139894999968,44.895634047000044,160.570000000006985,35.5956383
42,44.895788000000003,-68.668062699999993,165.370000000000005,-68.668062794999969,44.895778747000065,165.369999999995343,35.7683792
43,44.895945200000000,-68.668121799999994,176.090000000000003,-68.668121894999956,44.895935947000055,176.089999999996508,36.0440369
44,44.895926500000002,-68.667356799999993,168.069999999999993,-68.667356894999955,44.895917247000057,168.070000000006985,36.0041122
45,44.895889500000003,-68.667218399999996,162.139999999999986,-68.667218494999986,44.895880247000036,162.139999999999418,35.8367233
46,44.896510999999997,-68.666903300000001,171.639999999999986,-68.666903394999963,44.896501747000059,171.639999999999418,35.5934982
47,44.896391299999998,-68.668459700000000,158.409999999999997,-68.668459793999943,44.896382047000031,158.410000000003492,35.9391861
48,44.895778399999998,-68.666998300000003,158.349999999999994,-68.666998394999951,44.895769147000067,158.350000000005821,35.5716286
49,44.896068900000003,-68.667909699999996,167.750000000000000,-68.667909794999957,44.896059647000072,167.750000000000000,36.0001984
