"event_id","height_above_terrain","p_flight","flight_binary"
18973260611,-1.99000000000001,0,0
19589114101,-0.433999999999997,0,0
19589114109,8.28999999999999,0,0
19589114112,42.375,0,0
19862859320,-121.604,0,0
19862859335,19.485,0,0
17882472424,6.2193,0,0
18009745637,32.4361,0,0
18009745721,24.8732,0,0
18009745805,1.7421,0,0
18052008960,16.269,0,0
18089366238,9.82499999999999,0,0
18196702200,-25.601,0,0
18196702232,7.25099999999998,0,0
18217470831,13.411,0,0
18256194248,-5.24599999999998,0,0
18256194276,16.594,0,0
18296035939,-19.053,0,0
18395863371,7.887,0,0
18413433735,-32.763,0,0
18395863492,7.62700000000001,0,0
18413433771,-21.541,0,0
18442778585,0.132000000000005,0,0
18534034662,9.24000000000001,0,0
17901259818,3.9969,0,0
18009745639,3.8238,0,0
18009745726,-8.0411,0,0
18009745808,-105.9729,0,0
18052008964,16.346,0,0
18089366239,45.474,0,0
18106065789,10.729,0,0
18240116560,15.816,0,0
18145087174,13.786,0,0
17869104793,34.87548,0,0
17869104797,14.82162,0,0
17833286388,7.87952,0,0
17833286405,27.95926,0,0
17869104835,-20.12913,0,0
18009745627,14.8667,0,0
18009745706,13.172,0,0
18009745792,6.645,0,0
18052008945,-21.139,0,0
18106065775,-27.836,0,0
18145087167,51.39,0,0
18217470812,3.464,0,0
19326637007,9.57400000000001,0,0
17833286361,6.96103,0,0
17833286363,-16.03304,0,0
17833286377,-1.31676,0,0
17833286406,11.76408,0,0
17869104836,2.63246,0,0
17901259884,10.92363,0,0
18009745707,-1.3914,0,0
18009745793,21.244,0,0
18052008946,32.722,0,0
18089366223,-8.70100000000002,0,0
18106065776,6.83399999999995,0,0
18124433773,-47.754,0,0
18145087168,11.9640000000001,0,0
18217470813,-10.788,0,0
18217470827,-18.888,0,0
18593363642,8.92399999999998,0,0
18593363644,13.77,0,0
18652625275,5.66399999999999,0,0
18652625317,-1.09699999999998,0,0
18690983752,3.36799999999999,0,0
18690983790,0.228000000000009,0,0
18750320576,3.16399999999999,0,0
18784646932,8.12799999999999,0,0
18814703819,2.887,0,0
18897319085,3.58800000000002,0,0
18897319103,0.966999999999985,0,0
18897319111,7.32100000000003,0,0
18897319136,-15.494,0,0
18973260568,10.255,0,0
18973260607,-18.97,0,0
19463274513,-4.07600000000002,0,0
19157547638,3.96600000000001,0,0
19157547647,34.451,0,0
19589114111,-9.35899999999998,0,0
19663506462,-6.666,0,0
19794563572,-80.645,0,0
19794563574,3.81099999999998,0,0
19794563580,8.86200000000002,0,0
19794563592,1.38799999999998,0,0
21298407343,7.13247,0,0
21298407345,9.00895,0,0
21335177732,11.0006,0,0
21335177740,3.05134,0,0
21335177753,8.07625,0,0
21335177768,18.02565,0,0
21357856372,7.629,0,0
21357856383,6.637,0,0
21439409183,-6.46299999999999,0,0
21439409196,6.996,0,0
21526243609,8.10499999999999,0,0
21526243612,28.244,0,0
21526243615,1.41800000000001,0,0
21526243618,10.768,0,0
21526243622,4.61500000000001,0,0
21526243631,4.048,0,0
21551806792,23.699,0,0
21551806820,8.249,0,0
21632060602,3.34500000000003,0,0
21632060612,6.01400000000001,0,0
21681782389,5.428,0,0
21681782394,41.96,0,0
21681782400,-29.774,0,0
21681782406,22.52,0,0
21697560572,35.452,0,0
21697560590,13.733,0,0
21787139409,-11.257,0,0
21787139429,11.93,0,0
21859718345,7.13499999999999,0,0
21859718361,16.289,0,0
21890900360,0.83499999999998,0,0
21890900367,6.82999999999998,0,0
21890900396,14.676,0,0
22034920029,13.652,0,0
22034920051,10.81,0,0
22034920064,-21.58,0,0
22034920083,-12.38,0,0
22335556340,17.18,0,0
22335556342,-90.16,0,0
22574770761,14.19,0,0
22574770764,-11.69,0,0
22574770767,-19.25,0,0
21313725511,7.45088,0,0
21313725528,22.56526,0,0
21313725541,5.45104,0,0
21313725549,18.3043,0,0
21357856350,-8.724056,0,0
21357856358,0.655682,0,0
21357856365,8.666038,0,0
21357856373,6.662462,0,0
21517098614,-38.355055,0,0
21517098620,3.586011,0,0
21517098632,-1.316186,0,0
21517098647,1.541009,0,0
21517098682,13.603014,0,0
21551806738,2.673111,0,0
21551806758,-0.318292,0,0
21551806773,13.387,0,0
21551806794,-0.126999999999995,0,0
21599539573,7.693,0,0
21599539579,15.101,0,0
21608137587,2.059,0,0
21608137595,10.227,0,0
21608137604,60.461,0,0
21608137614,-22.617,0,0
21632060621,12.882,0,0
21632060632,1.27200000000001,0,0
21697560548,14.531,0,0
21697560559,23.591,0,0
21697560577,29.961,0,0
21697560593,11.697,0,0
21787139413,0.789999999999992,0,0
21787139432,13.199,0,0
21890900356,0.093,0,0
21890900384,11.814,0,0
22034920041,28.742,0,0
22034920052,11.628,0,0
22034920067,12.843,0,0
22034920086,-24.666,0,0
22503128718,14.841,0,0
22503128719,-9.438,0,0
22503128724,16.354,0,0
22503128730,12.347,0,0
22503128739,22.562,0,0
23119367583,8.628,0,0
23119367585,13.721,0,0
23119367586,-8.187,0,0
23383318036,9.455,0,0
23383318038,10.929,0,0
23383318040,4.186,0,0
23383318042,11.573,0,0
21335177726,15.98738,0,0
21313725529,25.94879,0,0
21357856343,-1.90397,0,0
21357856349,26.07398,0,0
21335177774,8.02709,0,0
21335177790,11.10396,0,0
21357856366,-5.19486,0,0
21357856374,20.57554,0,0
21517098615,-7.84736,0,0
21517098621,2.1654,0,0
21439409197,6.00842,0,0
21517098664,-17.458,0,0
21517098683,-2.14599999999996,0,0
21526243624,-2.346,0,0
21577620848,15.119,0,0
21551806795,34.09,0,0
21551806822,-14.585,0,0
21577620853,-2.41199999999998,0,0
21577620862,4.20100000000002,0,0
21664120440,-32.32,0,0
21664120445,-10.221,0,0
21697560532,2.12900000000002,0,0
21697560536,-14.82,0,0
21664120457,22.964,0,0
21664120466,27.91,0,0
21697560560,42.576,0,0
21697560578,10.84,0,0
21787139392,-5.57299999999998,0,0
21787139414,42.06,0,0
21859718337,-55.87,0,0
21859718347,18.796,0,0
21859718363,3.96,0,0
21859718379,8.94,0,0
21909230174,-48.34,0,0
21909230178,16.29,0,0
21909230183,-8.005,0,0
21909230191,13.207,0,0
22034920042,-1.60299999999999,0,0
22034920053,-6.675,0,0
22034920068,7.971,0,0
22034920087,1.99099999999999,0,0
22574770759,-213.301,0,0
22574770762,5.69099999999997,0,0
22574770773,4.99099999999999,0,0
22574770818,-5.62,0,0
23168807770,6,0,0
23168807771,-5.00900000000001,0,0
23054196984,1.99099999999999,0,0
23276541537,2.99099999999999,0,0
23276541542,-1,0,0
23276541549,7,0,0
23276541577,7.99099999999999,0,0
23503662700,12,0,0
23503662735,9,0,0
24793389838,-1.97057,0,0
