"Movebank ID","lon","lat","tagtype","sex","age","height_above_ellipsoid","fix","elev_geoid","terrain_height","alt_hat","time","sunrise","sunset","day_night"
"NC-2020-20",-78.2900085,45.0187912,"4g - Night","m","Second Year",970,"3D",1005.73878935,440,565.73878935,2020-04-21 04:01:04,2020-04-21 10:18:30,2020-04-22 00:07:14,"Night"
"SC-2020-12",-72.9437027,44.9733772,"6.3g - Night","f","Second Year",261,"3D",291.098095075,105,186.098095075,2020-04-10 03:58:56,2020-04-10 10:16:13,2020-04-10 23:31:50,"Night"
"AL-2020-05",-79.2531357,45.6084862,"4g - Night","m","After Second Year",778,"3D",814.012433749,413,401.012433749,2020-03-28 04:01:04,2020-03-28 11:05:05,2020-03-28 23:41:06,"Night"
"NC-2020-18",-67.2515488,45.414669,"6.3g - Night","f","Second Year",223,"3D",247.550277058,122,125.550277058,2020-04-05 04:01:04,2020-04-05 10:02:08,2020-04-05 23:03:11,"Night"
"AL-2021-08",-73.8340454,45.8628464,"4g- hybrid","m","After Second Year",174,"3D",206.632861382,90,116.632861382,2021-03-28 03:58:56,2021-03-28 10:43:48,2021-03-28 23:19:12,"Night"
"SC-2020-16",-70.8342438,45.633522,"6.3g - Night","f","Second Year",517,"3D",544.495613015,374,170.495613015,2020-05-15 04:01:04,2020-05-15 09:13:11,2020-05-16 00:08:58,"Night"
"NC-2020-18",-64.9483414,46.2964363,"6.3g - Night","f","Second Year",184,"3D",204.46297564,75,129.46297564,2020-04-09 04:01:04,2020-04-09 09:44:27,2020-04-09 23:00:11,"Night"
"GA-2021-21",-91.6798859,46.8309364,"5g- hybrid","f","After Second Year",610,"3D",639.993431844,183,456.993431844,2021-04-06 04:01:04,2021-04-06 11:36:50,2021-04-07 00:43:26,"Night"
"NC-2021-30",-69.162384,47.9070587,"5g- hybrid","f","After Second Year",447,"3D",474.057192167,270,204.057192167,2021-03-31 04:01:04,2021-03-31 10:17:51,2021-03-31 23:05:55,"Night"
"SC-2020-12",-69.738739,48.0717201,"6.3g - Night","f","Second Year",102,"3D",129.749382045,3,126.749382045,2020-05-03 04:01:04,2020-05-03 09:17:49,2020-05-03 23:56:12,"Night"
"GA-2021-19",-68.4445801,48.3345299,"5g- hybrid","f","After Second Year",377,"3D",403.215477982,199,204.215477982,2021-05-03 03:58:56,2021-05-03 09:12:19,2021-05-03 23:51:24,"Night"
"SC-2020-12",-68.3516769,49.1235199,"6.3g - Night","f","Second Year",199,"3D",225.21436509,39,186.21436509,2020-06-15 03:58:56,2020-06-15 08:29:19,2020-06-16 00:41:21,"Night"
